"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"27","CHOCÓ","27787","TADÓ",,,,"2","1.53",,,"5",,,"4","3","2","3","5.51","3.16","2.71",,,,,,,
"27","CHOCÓ","27800","UNGUÍA",,,,,,,,,,"29","6","4","31","14","75.87","20.66","34.68","28.26","12.67","175.24","417.48","425.3","525.76","583.33"
"27","CHOCÓ","27810","UNIÓN PANAMERICANA (Ánimas)",,,,"2.07","1.41",,,,,,"1",,,,,,,,,,,,,
"23","CÓRDOBA","23350","LA APARTADA","6.56",,,,,,,,,,,,,,,,,,,,,,,
"23","CÓRDOBA","23466","MONTELÍBANO","40.55","66","232.66","428","1021","376","360","621","681","835","240","224","43","77","186.65","573.86","1181.13","974.04","540.63","762.04","1143.27","1054.73","1295","907.37"
"23","CÓRDOBA","23580","PUERTO LIBERTADOR","270.78","141","193","339","978","447","1084","464","728","579","243","214","36","64","207.45","570.62","1412.22","1013.93","855.85","1,148.96","1374.26","1318.84","1539.12","1392.53"
"23","CÓRDOBA","23682","SAN JOSÉ DE URÉ",,,,,,,,,,,,"99","13","42","97.97","231.94","552.7","441.7","340.85","514.16","575.76","520.37","694.76","676.85"
"23","CÓRDOBA","23807","TIERRALTA","322.01","178","399","669","1124","389","414","624","1360","2474","604","509","341","376","858.62","1290.07","1629.68","2201.26","1140.24","1,319.84","2379.48","3451.51","3872.97","3589.82"
"23","CÓRDOBA","23855","VALENCIA",,,"13.04","99","13","4",,"1","12","1","1",,"6","1","12.31","1.8","4.71","5.48","4.29","3.82","7.65","18.34","23.72","18.68"
"25","CUNDINAMARCA","25148","CAPARRAPÍ",,,,,,"3","4",,,"1","1",,,,,,,,,,,,,
"25","CUNDINAMARCA","25518","PAIME",,,"12","4",,"2","2",,,,,,,,,,,,,,,,,
"25","CUNDINAMARCA","25823","TOPAIPÍ",,,"5.94","8",,"2","1",,,,,,,,,,,,,,,,,
"25","CUNDINAMARCA","25885","YACOPÍ","1.62","57","39","60","56","113","124","12",,"31","17",,,,,,,,,,,,,
"94","GUAINÍA","94343","BARRANCO MINA (Cor. Departamental)","363.81","232","405","342","396","362","308","155","275","122","89","67","30","11","4.34","2.28",,,,,,,,
"94","GUAINÍA","94001","INIRIDA","276","247","137","134","182","186","150","187","114","147","135","105","27","19",,,,,,,,,,
"94","GUAINÍA","94663","MAPIRIPANA (Cor. Departamental)",,,,,,,,,,,,"50","19","28","16.71","3.46","3.72",,,,,,,
"94","GUAINÍA","94888","MORICHAL (Morichal Nuevo) (Cor. Departamental)","221","114","162","185","117","164","102","117","77","93","66","62","4","3","15.68","15.87","26.82","41.22","22.27","19.15","48.69","36.92","41.69","27.82"
"94","GUAINÍA","94887","PANÁ PANÁ (Campo Alegre) (Cor. Departamental)","68","38","7","43","38","27","28","40","30","29","28","12","1","2",,,,,,,,,,
"94","GUAINÍA","94884","PUERTO COLOMBIA (Cor. Departamental)","191","117","15","17.28","19","14","35","126","42","55",,"5",,"3",,,,,,,,,,
"95","GUAVIARE","95015","CALAMAR","4966.03","4297","2172","1186","1175","1497","1147","808","721","546","862","458","399","614","455.19","542.29","416.39","241.84","144.52","189.29","202.59","190.3","158.58","165.84"
"95","GUAVIARE","95025","EL RETORNO","4230.99","4458","5070","3183","2648","2799","3272","2415","2371","1732","1701","1028","1314","1600","1615.35","2191.55","1405.66","1545.09","1194.71","1,265.32","1648.79","2191.86","2182.28","2129.58"
"95","GUAVIARE","95200","MIRAFLORES","11777.05","14606","2248","1646","1704","1382","1699","1263","2325","1719","2590","1391","1780","1922","1851.54","2297.16","1699.29","1378.4","1021.83","1,060.44","1297.25","1115.97","1032.04","1149.73"
"95","GUAVIARE","95001","SAN JOSÉ DEL GUAVIARE","3089.5","4019","6673","3755","3131","3799","3181","2143","2907","1704","1686","973","1232","1522","1501.04","1806.99","1401.33","1174.63","757.79","711.6","1286.59","1436.58","1597.45","1575.9"
