Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Regiones,San Andrés,Vida religiosa,Hombre,0:20,0:15,0:24,11.5
2024-09_2025-08,Regiones,San Andrés,Vida religiosa,Mujer,0:28,0:24,0:32,7.1
2024-09_2025-08,Regiones,San Andrés,Actividades conexas a las actividades personales,Total,0:40,0:31,0:48,10.9
2024-09_2025-08,Regiones,San Andrés,Actividades conexas a las actividades personales,Hombre,0:35,0:27,0:42,10.8
2024-09_2025-08,Regiones,San Andrés,Actividades conexas a las actividades personales,Mujer,0:45,0:31,0:58,15.6
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades personales,Total,21:53,21:44,22:03,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades personales,Hombre,21:53,21:42,22:04,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades personales,Mujer,21:54,21:40,22:07,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Educación y formación,Total,6:28,6:20,6:35,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Educación y formación,Hombre,6:25,6:17,6:33,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Educación y formación,Mujer,6:30,6:20,6:41,
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida social,Total,2:06,2:02,2:10,1.7000000000000002
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida social,Hombre,2:09,2:04,2:14,1.9
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida social,Mujer,2:03,1:58,2:08,2.1
2024-09_2025-08,Grupos de edad,De 10 a 17 años,"Vida cultural, aficiones o deporte",Total,2:10,2:06,2:14,1.5
2024-09_2025-08,Grupos de edad,De 10 a 17 años,"Vida cultural, aficiones o deporte",Hombre,2:17,2:13,2:22,1.6
2024-09_2025-08,Grupos de edad,De 10 a 17 años,"Vida cultural, aficiones o deporte",Mujer,1:56,1:50,2:03,2.9000000000000004
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Uso de medios de comunicación,Total,4:11,4:06,4:15,0.8999999999999999
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Uso de medios de comunicación,Hombre,4:14,4:09,4:20,1.0999999999999999
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Uso de medios de comunicación,Mujer,4:07,4:01,4:12,1.2
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades de cuidado personal,Total,11:03,10:59,11:07,0.3
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades de cuidado personal,Hombre,10:59,10:55,11:04,0.4
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades de cuidado personal,Mujer,11:07,11:02,11:13,0.4
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida religiosa,Total,1:00,0:52,1:08,6.800000000000001
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida religiosa,Hombre,0:56,0:47,1:06,8.9
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Vida religiosa,Mujer,1:03,0:53,1:14,8.7
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades conexas a las actividades personales,Total,0:57,0:54,0:59,2.5
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades conexas a las actividades personales,Hombre,0:56,0:53,0:59,2.8000000000000003
2024-09_2025-08,Grupos de edad,De 10 a 17 años,Actividades conexas a las actividades personales,Mujer,0:57,0:53,1:02,3.8
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades personales,Total,17:28,17:19,17:37,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades personales,Hombre,17:40,17:29,17:50,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades personales,Mujer,17:17,17:05,17:29,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Educación y formación,Total,5:52,5:43,6:01,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Educación y formación,Hombre,5:50,5:38,6:03,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Educación y formación,Mujer,5:54,5:40,6:08,
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida social,Total,2:09,2:05,2:12,1.3
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida social,Hombre,2:14,2:10,2:18,1.4000000000000001
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida social,Mujer,2:03,1:59,2:08,2.0
2024-09_2025-08,Grupos de edad,De 18 a 29 años,"Vida cultural, aficiones o deporte",Total,1:47,1:44,1:50,1.5
2024-09_2025-08,Grupos de edad,De 18 a 29 años,"Vida cultural, aficiones o deporte",Hombre,1:54,1:50,1:57,1.6
2024-09_2025-08,Grupos de edad,De 18 a 29 años,"Vida cultural, aficiones o deporte",Mujer,1:39,1:34,1:44,2.6
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Uso de medios de comunicación,Total,4:05,4:01,4:10,0.8
