"FECHA","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","GRUPO"
"2022 Sep 20 12:00:00 AM","52","NARIÑO","52885","YACUANQUER","GAOR"
"2022 Sep 20 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","GAOR"
"2022 Sep 20 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","GAOR"
"2022 Sep 21 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Sep 21 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","GAOR"
"2022 Sep 22 12:00:00 AM","52","NARIÑO","52079","BARBACOAS","GAOR"
"2022 Sep 22 12:00:00 AM","20","CESAR","20001","VALLEDUPAR","CLAN DEL GOLFO"
"2022 Sep 23 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Sep 23 12:00:00 AM","86","PUTUMAYO","86885","VILLAGARZON","GAOR"
"2022 Sep 23 12:00:00 AM","85","CASANARE","85001","YOPAL","GAOR"
"2022 Sep 23 12:00:00 AM","41","HUILA","41001","NEIVA","GAOR"
"2022 Sep 23 12:00:00 AM","41","HUILA","41001","NEIVA","GAOR"
"2022 Sep 26 12:00:00 AM","19","CAUCA","19256","EL TAMBO","GAOR"
"2022 Sep 26 12:00:00 AM","27","CHOCO","27361","ISTMINA","CLAN DEL GOLFO"
"2022 Sep 27 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CLAN DEL GOLFO"
"2022 Sep 27 12:00:00 AM","05","ANTIOQUIA","05854","VALDIVIA","CLAN DEL GOLFO"
"2022 Sep 27 12:00:00 AM","19","CAUCA","19573","PUERTO TEJADA","GAOR"
"2022 Sep 27 12:00:00 AM","19","CAUCA","19573","PUERTO TEJADA","GAOR"
"2022 Sep 27 12:00:00 AM","27","CHOCO","27099","BOJAYA","CLAN DEL GOLFO"
"2022 Sep 27 12:00:00 AM","13","BOLIVAR","13160","CANTAGALLO","GAOR"
"2022 Sep 27 12:00:00 AM","18","CAQUETA","18592","PUERTO RICO","GAOR"
"2022 Sep 29 12:00:00 AM","05","ANTIOQUIA","05854","VALDIVIA","CLAN DEL GOLFO"
"2022 Sep 29 12:00:00 AM","27","CHOCO","27001","QUIBDO","CLAN DEL GOLFO"
"2022 Sep 29 12:00:00 AM","25","CUNDINAMARCA","25269","FACATATIVA","CLAN DEL GOLFO"
"2022 Oct 03 12:00:00 AM","73","TOLIMA","73555","PLANADAS","GAOR"
"2022 Oct 03 12:00:00 AM","41","HUILA","41001","NEIVA","GAOR"
"2022 Oct 05 12:00:00 AM","73","TOLIMA","73001","IBAGUE","GAOR"
"2022 Oct 05 12:00:00 AM","25","CUNDINAMARCA","25290","FUSAGASUGA","GAOR"
"2022 Oct 05 12:00:00 AM","52","NARIÑO","52001","PASTO","GAOR"
"2022 Oct 06 12:00:00 AM","27","CHOCO","27361","ISTMINA","CLAN DEL GOLFO"
"2022 Oct 07 12:00:00 AM","27","CHOCO","27361","ISTMINA","CLAN DEL GOLFO"
"2022 Oct 10 12:00:00 AM","13","BOLIVAR","13688","SANTA ROSA DEL SUR","CLAN DEL GOLFO"
"2022 Oct 10 12:00:00 AM","13","BOLIVAR","13688","SANTA ROSA DEL SUR","CLAN DEL GOLFO"
"2022 Oct 10 12:00:00 AM","05","ANTIOQUIA","05001","MEDELLIN","CLAN DEL GOLFO"
"2022 Oct 10 12:00:00 AM","85","CASANARE","85410","TAURAMENA","GAOR"
"2022 Oct 11 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CLAN DEL GOLFO"
"2022 Oct 11 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CLAN DEL GOLFO"
"2022 Oct 12 12:00:00 AM","05","ANTIOQUIA","05647","SAN ANDRES DE CUERQUIA","CLAN DEL GOLFO"
"2022 Oct 13 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2022 Oct 13 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
