Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
CESAR,20,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,370,0.07
CESAR,20,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,319,0.06
CESAR,20,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",241,0.04
CESAR,20,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,173,0.03
CESAR,20,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,121,0.02
CESAR,20,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,85,0.01
CESAR,20,Escrutinio,Votos en blanco,,7105,1.47
CESAR,20,Escrutinio,Votos nulos,,4679,0.95
CESAR,20,Escrutinio,No marcados,,1066,0.21
CESAR,20,Escrutinio,Abstención,,440538,47.41
CHOCO,27,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,109148,75.67
CHOCO,27,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,22782,15.79
CHOCO,27,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,5640,3.91
CHOCO,27,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,1203,0.83
CHOCO,27,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,983,0.68
CHOCO,27,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,612,0.42
CHOCO,27,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,343,0.23
CHOCO,27,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,331,0.22
CHOCO,27,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,268,0.18
CHOCO,27,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",238,0.16
CHOCO,27,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,203,0.14
CHOCO,27,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,107,0.07
CHOCO,27,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,106,0.07
CHOCO,27,Escrutinio,Votos en blanco,,2261,1.56
CHOCO,27,Escrutinio,Votos nulos,,2451,1.66
CHOCO,27,Escrutinio,No marcados,,580,0.39
CHOCO,27,Escrutinio,Abstención,,214538,59.29
CONSULADOS,100,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,319988,54.36
CONSULADOS,100,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,167526,28.46
CONSULADOS,100,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,54549,9.26
CONSULADOS,100,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,31666,5.38
CONSULADOS,100,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,6286,1.06
CONSULADOS,100,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,2328,0.39
CONSULADOS,100,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",352,0.05
CONSULADOS,100,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,349,0.05
CONSULADOS,100,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,321,0.05
CONSULADOS,100,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,252,0.04
